env_step,return,smoothed_return
0,9.540000000000001,21.398909090908997
10000,130.24,97.01539393939386
20000,117.7,160.24469264069256
30000,238.16,211.0868051948051
40000,249.1,249.5417316017313
50000,273.06000000000006,266.8474458874456
60000,301.36,283.0735064935062
70000,258.06,299.6899567099564
80000,297.04,312.5561904761902
90000,315.12,299.5395670995668
100000,364.0200000000001,280.67359307359277
110000,230.1,272.4137662337659
120000,192.35999999999999,249.10069264069236
130000,252.94,246.9378354978352
140000,285.5,251.92259740259706
150000,265.88,292.99307359307323
160000,338.98,308.8132467532464
170000,297.76,305.23774891774855
180000,339.74,314.12848484848445
190000,277.24,326.91826839826797
200000,327.04,336.14900432900396
210000,388.3,355.64242424242383
220000,365.18,363.58406926406883
230000,375.06,366.3837229437225
240000,351.28000000000003,352.4280519480515
250000,333.2,338.644242424242
260000,316.43999999999994,339.5630303030299
270000,357.52,346.27593073593033
280000,367.5,369.4603463203459
290000,388.7,386.76303030302984
300000,408.86,407.2503030303026
310000,426.5,414.74761904761857
320000,389.46,410.753506493506
330000,427.46000000000004,396.2003463203459
340000,377.84000000000003,379.7558441558437
350000,343.96,366.01350649350604
360000,353.76,361.8976623376619
370000,366.38,361.8012121212117
380000,367.88,365.2574025974022
390000,374.14,358.27748917748875
400000,369.46,348.23454545454507
410000,309.54,337.8164502164498
420000,320.88,342.67393939393895
430000,367.2,362.72519480519435
440000,379.88,387.85116883116837
450000,437.73999999999995,411.3868398268394
460000,437.3,415.8810389610384
470000,395.14,408.53341991341944
480000,379.14,399.1880519480515
490000,378.82,381.23601731601684
500000,381.67999999999995,365.2759307359303
510000,372.68,358.57497835497793
520000,345.67999999999995,367.1280519480515
530000,337.3,363.02787878787836
540000,383.82,361.85861471861426
550000,416.52,378.54926406926364
560000,331.18,388.75515151515106
570000,392.28000000000003,386.1041558441554
580000,421.62,367.67229437229395
590000,338.54,356.82225108225066
600000,334.62,361.0004329004325
610000,334.66,345.8077056277052
620000,372.86,348.8347186147182
630000,373.58000000000004,372.4597402597398
640000,355.06,379.04935064935023
650000,403.6,376.13463203463164
660000,385.54,368.8666666666662
670000,336.94,361.0891774891771
680000,348.04,362.71999999999963
690000,366.32,358.4943722943719
700000,356.06000000000006,359.3108225108221
710000,391.36,359.6596536796533
720000,348.46000000000004,357.3120346320342
730000,334.58000000000004,353.53160173160137
740000,351.9,360.444242424242
750000,386.26000000000005,371.19904761904724
760000,383.74,394.14051948051906
770000,423.12,411.0732467532463
780000,424.1,423.51376623376575
790000,424.5,428.6972294372289
800000,422.5799999999999,426.197835497835
810000,431.7,414.20502164502113
820000,403.32,405.39367965367916
830000,380.12,398.0637229437225
840000,389.12,388.8268398268394
850000,393.68,379.6043290043286
860000,390.14,385.5309956709952
870000,377.12,396.93220779220735
880000,396.12,406.1326406926402
890000,441.78000000000003,420.86060606060556
900000,440.23999999999995,439.45549783549734
910000,439.43999999999994,451.11956709956655
920000,459.62,446.5287445887441
930000,451.66,438.8229437229432
940000,420.46000000000004,435.05004329004277
950000,412.73999999999995,431.93714285714236
960000,442.9,433.1623376623371
970000,434.56000000000006,427.41498701298684
980000,437.02,420.7889350649349
990000,432.52,413.28418181818165
1000000,380.62,404.90072727272707
